State,HEV2016,HEV2017,HEV2018,HEV2019,HEV2020,HEV2021,HEV2022
AL,29100,30600,31800,33700,36300,42500,50800
AK,5000,5200,5400,5800,6200,7300,9000
AZ,89600,96000,102000,108100,115400,132200,150800
AR,19100,20000,20300,21100,22400,26100,30600
CA,966700,1039300,1085300,1154200,1228700,1355900,1514000
CO,74000,79800,84700,92400,96500,113600,131800
CT,43200,45200,45100,47400,49600,55400,64500
DE,11200,11900,12300,13200,14800,16700,19500
DC,11800,13600,13900,13700,14300,16100,17200
FL,207100,219700,226900,235300,248500,287000,338700
GA,86400,92200,97100,101800,109000,128200,147200
HI,22600,23700,24800,25800,26400,28800,32600
ID,16300,17700,19600,21900,24900,30400,36500
IL,146500,155800,163800,177300,190600,214300,244100
IN,54500,59700,64000,68900,75300,88200,100900
IA,26900,29000,30700,33100,36400,42500,48600
KS,26200,28200,29600,31700,34000,38300,43500
KY,30900,33900,35800,38000,41300,48300,55800
LA,17700,18700,19000,19800,21600,26000,31400
ME,17900,18900,19600,20600,22400,25500,28900
MD,85900,91200,95300,100700,109700,130900,146200
MA,98300,103600,107000,112400,122600,138800,158600
MI,64900,72000,79000,86500,93400,106400,122800
MN,58900,63300,71000,77400,83800,95200,105300
MS,11800,12800,13600,14400,15800,18700,22300
MO,63800,88800,98600,86200,77600,85600,95100
MT,9800,10000,10000,10500,11200,13900,17100
NE,14500,15800,16800,18200,20200,23700,27300
NV,30700,34400,37300,40100,42900,50200,59100
NH,19200,20300,20700,21900,23300,27000,31100
NJ,80900,84900,89200,99900,104600,121500,142600
NM,20800,23600,25000,26800,28500,32800,37600
NY,166500,171000,173200,182800,192700,221600,259600
NC,107400,114300,119400,126600,133400,151600,175300
ND,3400,3700,3700,4000,4400,5400,6600
OH,91900,98600,104900,114500,124100,143700,165700
OK,24800,25900,27800,28500,30100,38700,47000
OR,83300,90900,96300,102000,106100,123200,138900
PA,103200,110100,114800,126300,140800,168200,199600
RI,11000,11800,12400,13100,14100,16300,18600
SC,39300,41900,43800,46500,49700,57400,66800
SD,5300,5900,6300,6600,7200,8700,10300
TN,48400,53400,59200,64300,68700,79800,94000
TX,205800,217100,227700,244600,262300,304700,361800
UT,32700,36700,40900,45300,49800,58500,69300
VT,11600,12200,12600,13300,13900,15800,17800
VA,126700,136800,141300,151000,157800,176500,198400
WA,143400,165100,177800,193400,211300,240000,270200
WV,9200,9700,10100,10900,11900,14500,18300
WI,61700,67100,70900,76200,82500,93500,105200
WY,3800,4000,4100,4200,4700,5700,6900
